Location_Name,Address,Phone,Terrain,Difficulty,Distance,Duration,Latitude,Longitude
Reedy Creek,2900 Rocky River Rd,N/A,Hilly,Intermediate ,Medium,1.5,35.276923,-80.716668
Frank Liske,4001 Stough Rd,(704) 920-2701,Flat,Amateur ,Long,2.5,35.36175,-80.61823
Hornets Nest,6301 Beatties Ford Rd,(980) 314-1001,Flat,Pro,Long,2,35.32014,-80.86512
Robbins Park,17738 W Catwaba Ave,(704) 892-6031,Mixed,Amateur ,Short,1,35.4591,-80.86195
Nevin Community Park,6000 Statesville Rd,(980) 314-1001,Mixed,Advanced,Medium,2,35.30188,-80.83787
Bradford Park,17005 Davidson-Concord Rd,(704) 766-2220,Mixed,Advanced,Medium,2,35.44426,-80.78929
Bailey Road Park,11536 Bailey Rd,(704) 892-6031,Mixed,Beginner,Short,1.5,35.46703,-80.84132
Sugaw Creek,941 W Sugar Creek Rd,(980) 314-1001,Flat,Amateur ,Medium,1.5,35.27261,-80.79563
Kilbourne ,2600 Kilbourne Dr,(704) 643-5725,Flat,Advanced,Medium,1.5,35.22125,-80.77341
Scraypard,10512 Idlewild Rd,(704) 336-8840,Mixed,Advanced,Long,2,35.16783,-80.70199
Eager Beaver,11401 Audrey Kell Rd,N/A,Flat,Beginner,Short,1,35.02029,-80.84121
Angry Beaver,11401 Audrey Kell Rd,N/A,Mixed,Pro,Long,2,35.02031,-80.84126
RenSke Park,1536 W Tyvola Rd,(980) 314-1003,Flat,Beginner,Short,1,35.17852,-80.90808
Renaissance Gold,1200 W Tyvola Rd,(980) 314-1003,Hilly,Advanced,Medium,1.5,35.17872,-80.90882
